time,AccX,AccY,AccZ,pressureTR, pressureBR, pressureTL, pressureBL,rawPressureTR,rawPressureBR,rawPressureTL,rawPressureBL
19:32:57.513537,-0.346154,0.185185,-0.942308,,,,,,,,
19:32:57.550106,-0.365385,0.203704,-0.942308,,,,,,,,
19:32:57.550436,-0.365385,0.166667,-0.942308,,,,,,,,
19:32:57.560473,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:57.574917,-0.307692,0.148148,-0.923077,,,,,,,,
19:32:57.579157,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:57.613581,-0.346154,0.185185,-0.923077,,,,,,,,
19:32:57.629286,-0.384615,0.203704,-0.942308,,,,,,,,
19:32:57.663499,-0.326923,0.185185,-0.923077,,,,,,,,
19:32:57.700998,-0.384615,0.203704,-0.942308,,,,,,,,
19:32:57.713486,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:57.791013,-0.365385,0.166667,-0.942308,,,,,,,,
19:32:57.798494,-0.384615,0.203704,-0.942308,,,,,,,,
19:32:57.819246,-0.365385,0.166667,-0.942308,,,,,,,,
19:32:57.819505,-0.346154,0.148148,-0.923077,,,,,,,,
19:32:57.872249,-0.384615,0.166667,-0.942308,,,,,,,,
19:32:57.880181,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:57.949739,-0.326923,0.203704,-0.923077,,,,,,,,
19:32:57.967877,-0.346154,0.166667,-0.923077,,,,,,,,
19:32:58.024799,-0.384615,0.166667,-0.942308,,,,,,,,
19:32:58.071019,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:58.106273,-0.384615,0.166667,-0.942308,,,,,,,,
19:32:58.122220,-0.326923,0.185185,-0.923077,,,,,,,,
19:32:58.139738,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:58.146941,-0.326923,0.185185,-0.923077,,,,,,,,
19:32:58.163840,-0.326923,0.166667,-0.923077,,,,,,,,
19:32:58.453552,-0.326923,0.203704,-0.923077,,,,,,,,
19:32:58.463352,-0.250000,0.166667,-0.923077,,,,,,,,
19:32:58.480571,-0.326923,0.166667,-0.923077,,,,,,,,
19:32:58.589869,-0.346154,0.203704,-0.923077,,,,,,,,
19:32:58.660369,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:58.689776,-0.346154,0.203704,-0.942308,,,,,,,,
19:32:58.697897,-0.346154,0.166667,-0.942308,,,,,,,,
19:32:58.713599,-0.346154,0.203704,-0.923077,,,,,,,,
19:32:58.730868,-0.365385,0.203704,-1.019231,,,,,,,,
19:32:58.735802,-0.365385,0.185185,-0.942308,,,,,,,,
19:32:58.771087,-0.326923,0.185185,-0.923077,,,,,,,,
19:32:58.788541,-0.346154,0.166667,-0.923077,,,,,,,,
19:32:58.799929,-0.346154,0.203704,-0.923077,,,,,,,,
19:32:58.813862,-0.346154,0.166667,-0.923077,,,,,,,,
19:32:58.814036,-0.346154,0.203704,-0.923077,,,,,,,,
19:32:58.881023,-0.346154,0.166667,-0.923077,,,,,,,,
